시설명,업종명,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,운반용차량보유여부,저장시설보유여부,전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
대형약품,일반종합도매,경상남도 창원시 의창구 남산로1번길 8 (팔용동),경상남도 창원시 팔용동 179-1 동양빌딩2층,35.26052405,128.611357,영업,Y,Y,,창원보건소,2023-07-11,5670000,경상남도 창원시
주식회사하임약품,일반종합도매,"인천광역시 남동구 논고개로123번길 45, 8층 803호일부호 (논현동)",,37.40152834,126.7213016,영업,N,N,032-463-9399,인천광역시 남동구청,2024-06-21,3530000,인천광역시 남동구
메디트론,일반종합도매,"인천광역시 남동구 하촌로 32, 원창빌딩 3층 302호 (만수동)",,37.45079297,126.732294,영업,N,N,032-466-3777,인천광역시 남동구청,2024-06-21,3530000,인천광역시 남동구
강일약품(주),일반종합도매,강원특별자치도 강릉시 신석길 4 (유산동),,37.740069,128.9208257,영업,Y,Y,,강원특별자치도 강릉시보건소,2024-08-05,4201000,강원특별자치도 강릉시
순천당약업(주),일반종합도매,강원특별자치도 강릉시 남구길5번길 13 (포남동),,37.7628323,128.9058177,영업,Y,Y,,강원특별자치도 강릉시보건소,2024-08-05,4201000,강원특별자치도 강릉시
(주)파마리서치,일반종합도매,"강원특별자치도 강릉시 과학단지로 77-19, 1층 (대전동)",,37.80020138,128.8524453,영업,Y,N,,강원특별자치도 강릉시보건소,2024-08-05,4201000,강원특별자치도 강릉시
세운약품,일반종합도매,"부산광역시 영도구 태종로 86, 2층 202호 (대교동2가, 로얄팰리스)",부산광역시 영도구 대교동2가 135-7,35.09177921,129.040245,영업,N,N,051-415-1007,부산광역시 영도구보건소,2024-07-29,3280000,부산광역시 영도구
고려종합가스상사,의료용고압가스,부산광역시 영도구 태종로83번길 43 (봉래동1가),부산광역시 영도구 봉래동1가 120-2,35.09386413,129.0410978,영업,Y,Y,051-414-8949,부산광역시 영도구보건소,2024-07-29,3280000,부산광역시 영도구
영진종합가스,의료용고압가스,부산광역시 영도구 태종로 53-2 (대교동1가),부산광역시 영도구 대교동1가 36-5,35.09326142,129.0374773,영업,Y,Y,051-417-0376,부산광역시 영도구보건소,2024-07-29,3280000,부산광역시 영도구
(주)피에스지(PSG)해동충전소,의료용고압가스,부산광역시 영도구 해양로135번길 11 (청학동),부산광역시 영도구 청학동 1-124,35.09377178,129.0691053,영업,Y,Y,051-417-8858,부산광역시 영도구보건소,2024-07-29,3280000,부산광역시 영도구
(주)한의유통,한약도매,"충청북도 증평군 도안면 인삼로 741-3, (주)청솔생약",충청북도 증평군 도안면 송정리 134-5,36.83208634,127.6120647,영업,N,N,1544-5175,증평군보건소,2024-07-30,5570000,충청북도 증평군
증평제일삼화가스,기타,충청북도 증평군 증평읍 보건복지로 39,충청북도 증평군 증평읍 내성리 85,36.7772933,127.5859379,영업,N,N,043-836-1212,증평군보건소,2024-07-30,5570000,충청북도 증평군
삼정에너지(주),기타,경기도 파주시 탄현면 축현산단로 28,경기도 파주시 탄현면 축현리 14,37.8055083207,126.7402109753,영업,Y,Y,031-945-0261,경기도 파주시청,2024-07-30,4060000,경기도 파주시
동일산업가스,의료용고압가스,경기도 파주시 월롱산로 46-1,경기도 파주시 야동동 237-11,37.7805982114,126.7657658383,영업,Y,Y,031-941-5020,경기도 파주시청,2024-07-30,4060000,경기도 파주시
성창종합가스,의료용고압가스,경기도 파주시 파주읍 봉서산로 157,경기도 파주시 파주읍 봉서리 59-8,37.836043293,126.7968719981,영업,Y,Y,031-954-4884,경기도 파주시청,2024-07-30,4060000,경기도 파주시
금오가스 (주),의료용고압가스,경기도 파주시 조리읍 명봉산로 155,경기도 파주시 조리읍 장곡리 598-36,37.7409869407,126.8457442543,영업,Y,Y,,경기도 파주시청,2024-07-30,4060000,경기도 파주시
그린가스 주식회사,의료용고압가스,경기도 파주시 법원읍 술이홀로 658-1,경기도 파주시 법원읍 대능리 432-11,37.8370149965,126.8553468863,영업,Y,Y,,경기도 파주시청,2024-07-30,4060000,경기도 파주시
삼원가스,의료용고압가스,경기도 파주시 하지석길 159,경기도 파주시 하지석동 405-2,37.7603468021,126.7441353253,영업,Y,Y,031-945-0289,경기도 파주시청,2024-07-30,4060000,경기도 파주시
대성종합가스,의료용고압가스,경기도 파주시 문산읍 화석정로 4,경기도 파주시 문산읍 선유리 310-2,37.8743997642,126.8066358803,영업,Y,Y,031-959-4204,경기도 파주시청,2024-07-30,4060000,경기도 파주시
반도특수가스,의료용고압가스,경기도 파주시 광탄면 장지산로 388,경기도 파주시 광탄면 분수리 291-17,37.7615453422,126.8649431012,영업,Y,Y,,경기도 파주시청,2024-07-30,4060000,경기도 파주시
(주)굿메디팜,일반종합도매,"부산광역시 동래구 금강로 19, 금정음악학원 3층 304호 (온천동)",부산광역시 동래구 온천동 397-32,35.21292252,129.0731152,영업,N,N,,부산광역시 동래구청,2024-07-25,3300000,부산광역시 동래구
